ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
I162L5	m	24/07/2015					2L5	IN CS	F	2016	
I1660R	f	24/07/2015					60R	IN CS	KK	2016	
I1682L	f	24/07/2015					82L	IN CS	F	2016	
I168J8	m	24/07/2015					8J8	IN CS	F	2016	
I168M6	f	24/07/2015					8M6	IN CS	S	2016	
I1600J	f	25/07/2015	06/10/2015				00J	Dead	F	2016	
I160K0	f	25/07/2015					0K0	IN CS	V	2016	
I1643F	f	25/07/2015					43F	IN CS	F	2016	
I164J4	f	25/07/2015					4J4	IN CS	V	2016	
I1664P	m	25/07/2015					64P	IN CS	F	2016	
I166C0	f	25/07/2015					6C0	IN CS	F	2016	
I1685T	f	25/07/2015					85T	IN CS	V	2016	
I161E6	m	26/07/2015					1E6	IN CS	R	2016	
I161K0	f	26/07/2015					1K0	IN CS	F	2016	
I162A2	f	26/07/2015					2A2	IN CS	F	2016	
I162C0	m	26/07/2015					2C0	IN CS	HH	2016	
I1660V	f	26/07/2015					60V	IN CS	R	2016	
I166D8	f	26/07/2015					6D8	IN CS	R	2016	
I169K0	m	26/07/2015					9K0	IN CS	MM	2016	
I162C8	f	26/07/2015	23/04/2016				2C8	Dead	R	2016	
I160B5	f	27/07/2015					0B5	IN CS	R	2016	
I164K4	m	27/07/2015					4K4	IN CS	R	2016	
I165B6	f	27/07/2015					5B6	IN CS	HH	2016	
I168B0	m	27/07/2015					8B0	IN CS	F	2016	
I165L5	f	27/07/2015		15/12/2015			5L5	Remove	R	2016	
I161E7	f	28/07/2015					1E7	IN CS	R	2016	
I163D9	m	28/07/2015					3D9	IN CS	V	2016	
I1652P	f	28/07/2015					52P	IN CS	F	2016	
I1653Z	m	28/07/2015					53Z	IN CS	V	2016	
I169N1	m	28/07/2015					9N1	IN CS	F	2016	
I167N9	f	29/07/2015		04/12/2015			7N9	Remove	F	2016	
I1616Z	m	29/07/2015	30/07/2015				16Z	Dead	R	2016	
I162C4	f	29/07/2015					2C4	IN CS	KK	2016	
I164F8	f	29/07/2015					4F8	IN CS	R	2016	
I1677S	f	29/07/2015					77S	IN CS	HH	2016	
I1693O	m	29/07/2015					93O	IN CS	KK	2016	
I1693T	f	30/07/2015	05/08/2015				93T	Dead	V	2016	
I161K5	f	30/07/2015					1K5	IN CS	F	2016	
I167D8	m	30/07/2015					7D8	IN CS	F	2016	
I167L2	m	31/07/2015		20/11/2015			7L2	Remove	F	2016	
I164H7	m	01/08/2015					4H7	IN CS	S	2016	
I168N3	m	01/08/2015					8N3	IN CS	V	2016	
I1690P	f	01/08/2015					90P	IN CS	MM	2016	
I1640L	m	02/08/2015					40L	IN CS	F	2016	
I164J3	m	02/08/2015					4J3	IN CS	HH	2016	
I165C0	f	02/08/2015					5C0	IN CS	F	2016	
I169L0	f	02/08/2015					9L0	IN CS	R	2016	
I161B4	f	03/08/2015					1B4	IN CS	S	2016	
I162E8	m	03/08/2015					2E8	IN CS	HH	2016	
I1655V	m	03/08/2015					55V	IN CS	F	2016	
I165A1	f	03/08/2015					5A1	IN CS	S	2016	
I169D8	f	03/08/2015					9D8	IN CS	F	2016	
I1621N	m	04/08/2015	05/10/2015				21N	Dead	HH	2016	
I163H4	m	04/08/2015					3H4	IN CS	R	2016	
I163I4	m	04/08/2015					3I4	IN CS	S	2016	
I1652Z	f	04/08/2015					52Z	IN CS	V	2016	
I165A0	m	04/08/2015					5A0	IN CS	S	2016	
I1600V	m	05/08/2015					00V	IN CS	V	2016	
I162A5	f	05/08/2015					2A5	IN CS	F	2016	
I164L5	m	05/08/2015					4L5	IN CS	R	2016	
I160C8	m	06/08/2015					0C8	IN CS	MM	2016	
I1628I	m	06/08/2015					28I	IN CS	R	2016	
I1629Z	m	06/08/2015					29Z	IN CS	F	2016	
I166N6	m	06/08/2015					6N6	IN CS	MM	2016	
I169L9	f	06/08/2015					9L9	IN CS	KK	2016	
I164H1	f	07/08/2015	11/08/2015				4H1	Dead	R	2016	
I162C7	m	07/08/2015					2C7	IN CS	HH	2016	
I1637P	m	07/08/2015					37P	IN CS	R	2016	
I165L7	m	07/08/2015					5L7	IN CS	V	2016	
I167C8	m	07/08/2015					7C8	IN CS	R	2016	
I168J9	m	07/08/2015					8J9	IN CS	F	2016	
I167N3	m	08/08/2015	14/10/2015				7N3	Dead	V	2016	
