ID	YEAR	IDyear	GROUP	SEX	RANK	ORD_RANK	%DOMINATED
78T	2013	78T2013	F	F	66	L	0
79Z	2013	79Z2013	F	F	34	L	48.48484848
7B2	2013	7B22013	F	M	19	M	57.77777778
7B7	2013	7B72013	F	F	47	L	28.78787879
7C0	2013	7C02013	F	F	26	M	60.60606061
7D8	2013	7D82013	F	F	44	L	33.33333333
82A	2013	82A2013	F	F	5	H	92.42424242
82L	2013	82L2013	F	F	17	M	74.24242424
87K	2013	87K2013	F	F	50	L	24.24242424
88I	2013	88I2013	F	F	27	M	59.09090909
88T	2013	88T2013	F	M	23	M	48.88888889
8A7	2013	8A72013	F	M	13	M	71.11111111
8B0	2013	8B02013	F	F	30	M	54.54545455
8B0	2013	8B02013	F	M	44	L	2.222222222
8B5	2013	8B52013	F	M	21	M	53.33333333
8C0	2013	8C02013	F	M	24	L	46.66666667
8C2	2013	8C22013	F	M	45	L	0
8C9	2013	8C92013	F	M	43	L	4.444444444
90D	2013	90D2013	F	F	31	M	53.03030303
92D	2013	92D2013	F	F	14	M	78.78787879
93Z	2013	93Z2013	F	F	60	L	9.090909091
96B	2013	96B2013	F	M	4	H	91.11111111
96Z	2013	96Z2013	F	M	17	M	62.22222222
98T	2013	98T2013	F	F	10	H	84.84848485
9A4	2013	9A42013	F	F	62	L	6.060606061
9C2	2013	9C22013	F	F	59	L	10.60606061
9D1	2013	9D12013	F	M	8	H	82.22222222
9D8	2013	9D82013	F	F	6	H	90.90909091
K00	2013	K002013	F	F	16	M	75.75757576
O52	2013	O522013	F	F	24	M	63.63636364
0B6	2013	0B62013	KK	F	4	H	86.66666667
1E2	2013	1_E22013	KK	F	5	H	83.33333333
19A	2013	19A2013	KK	F	19	L	36.66666667
1C7	2013	1C72013	KK	F	22	L	26.66666667
21H	2013	21H2013	KK	F	6	H	80
24V	2013	24V2013	KK	F	2	H	93.33333333
25P	2013	25P2013	KK	F	30	L	0
2C3	2013	2C32013	KK	F	9	M	70
2C4	2013	2C42013	KK	F	17	L	43.33333333
37V	2013	37V2013	KK	F	21	L	30
3A2	2013	3A22013	KK	F	20	L	33.33333333
44V	2013	44V2013	KK	F	23	L	23.33333333
49V	2013	49V2013	KK	F	27	L	10
4D8	2013	4D82013	KK	F	8	M	73.33333333
51V	2013	51V2013	KK	F	26	L	13.33333333
53E	2013	53E2013	KK	F	15	M	50
55J	2013	55J2013	KK	F	28	L	6.666666667
5H4	2013	5H42013	KK	F	1	H	100
60R	2013	60R2013	KK	F	12	M	60
62R	2013	62R2013	KK	F	3	H	90
6C2	2013	6C22013	KK	F	16	L	46.66666667
6D4	2013	6D42013	KK	F	25	L	16.66666667
6D6	2013	6D62013	KK	F	13	M	56.66666667
6D9	2013	6D92013	KK	F	18	L	40
74T	2013	74T2013	KK	F	10	M	66.66666667
76J	2013	76J2013	KK	F	7	M	76.66666667
83Z	2013	83Z2013	KK	F	14	M	53.33333333
86Z	2013	86Z2013	KK	F	11	M	63.33333333
93O	2013	93O2013	KK	F	24	L	20
9C5	2013	9C52013	KK	F	29	L	3.333333333
00J	2014	00J2014	F	F	55	L	25.67567568
00O	2014	00O2014	F	F	31	M	58.10810811
03J	2014	03J2014	F	F	51	L	31.08108108
04N	2014	04N2014	F	F	10	H	86.48648649
0A4	2014	0A42014	F	F	17	M	77.02702703
0A9	2014	0A92014	F	F	60	L	18.91891892
0C6	2014	0C62014	F	F	48	L	35.13513514
